iso,year,fsi_overall,fsi_security_apparatus,fsi_factionalized_elites,fsi_group_grievance,fsi_economy,fsi_economic_inequality,fsi_human_flight_brain_drain,fsi_state_legitimacy,fsi_public_services,fsi_human_rights,fsi_demographic_pressures,fsi_refugees_idps,fsi_external_intervention
AFG,2006,99.8,8.2,8.0,9.1,7.5,8.0,7.0,8.3,8.0,8.2,7.9,9.6,10.0
AFG,2007,102.3,9.0,8.5,9.1,8.3,8.0,7.0,8.8,8.0,8.2,8.5,8.9,10.0
AFG,2008,105.4,9.6,8.8,9.5,8.5,8.1,7.0,9.2,8.3,8.4,9.1,8.9,10.0
AFG,2009,108.2,9.9,9.1,9.6,8.3,8.4,7.2,9.8,8.9,8.8,9.3,8.9,10.0
AFG,2010,109.3,9.7,9.4,9.7,8.3,8.2,7.2,10.0,8.9,9.2,9.5,9.2,10.0
AFG,2011,107.5,9.8,9.4,9.3,8.0,8.4,7.2,9.7,8.5,8.8,9.1,9.3,10.0
AFG,2012,106.0,9.7,9.4,9.4,7.7,8.1,7.4,9.5,8.5,8.5,8.9,9.0,10.0
AFG,2013,106.7,9.9,9.4,9.2,8.2,7.8,7.2,9.4,8.8,8.4,9.3,9.2,10.0
AFG,2014,106.5,10.0,9.4,8.7,8.3,7.5,7.8,9.5,9.0,8.3,8.8,9.3,9.9
AFG,2015,107.9,10.0,9.3,8.9,8.6,7.2,8.1,9.7,9.3,8.6,9.3,9.1,9.8
AFG,2016,107.9,10.0,8.6,8.6,8.5,7.5,8.4,9.1,9.6,8.7,9.5,9.5,9.9
AFG,2017,107.3,10.0,8.6,8.4,8.3,7.5,8.2,9.1,9.9,8.5,9.3,9.8,9.7
AFG,2018,106.62076809859943,10.0,8.6,8.1,8.314048279027624,7.8,8.1,9.073801435523972,9.95,8.2,9.182918384047841,9.9,9.399999999999999
AFG,2019,105.0,10.0,8.6,7.8,8.6,7.5,7.8,9.0,9.8,7.9,9.3,9.6,9.1
AFG,2020,102.90118710068992,9.932962647670891,8.9,7.5,8.299999999999999,7.729525686149799,7.5,9.006570219527681,9.5,7.6000000000000005,9.0,9.299999999999999,8.63212854734157
AFG,2021,102.1,10.0,8.6,7.2,9.2,8.1,7.0,8.7,9.8,7.4,9.0,8.8,8.3
AFG,2022,105.90000000000002,10.0,8.7,8.2,9.3,8.2,8.0,9.2,9.9,8.4,9.1,8.9,8.0
ALB,2006,68.6,5.5,4.5,4.5,7.0,6.0,7.0,7.0,6.9,5.5,6.0,2.7,6.0
ALB,2007,70.5,5.5,5.4,5.4,6.8,6.1,7.5,7.4,6.2,5.4,6.5,2.7,5.6
ALB,2008,69.7,5.5,5.7,5.4,6.3,6.1,7.5,7.2,5.9,5.4,6.2,2.7,5.8
ALB,2009,70.0,5.5,5.9,5.4,6.5,5.9,7.2,7.3,5.8,5.8,6.4,2.6,5.7
ALB,2010,67.1,5.4,6.0,4.9,6.1,5.7,7.1,6.8,5.6,5.3,5.9,2.8,5.5
ALB,2011,66.1,5.4,6.3,5.1,5.9,5.4,6.8,6.4,5.0,5.0,5.5,3.1,6.3
ALB,2012,66.1,5.4,6.6,5.1,5.6,5.1,6.8,7.3,4.9,5.5,5.0,2.8,6.0
ALB,2013,65.2,5.5,6.3,4.8,5.3,4.8,6.6,7.0,4.8,6.0,4.7,3.1,6.3
ALB,2014,63.6,5.0,6.2,4.7,5.5,4.5,6.9,6.5,4.8,5.5,4.4,3.4,6.2
ALB,2015,61.9,4.7,6.2,5.0,5.2,4.2,7.1,6.2,4.5,5.5,4.1,3.1,6.1
ALB,2016,61.2,4.4,6.2,4.7,5.5,3.8,7.6,5.9,4.2,5.0,4.2,3.3,6.4
ALB,2017,60.5,4.7,6.2,4.5,5.4,3.6,7.6,5.7,4.0,4.8,3.7,3.6,6.7
ALB,2018,60.07930843597633,4.843614762543815,6.5,4.2,5.7,3.3000000000000003,7.5,6.0,3.835693673432509,4.5,3.4000000000000004,3.3000000000000003,7.0
ALB,2019,58.9,5.1,6.2,4.3,6.0,3.0,7.8,5.7,3.8,4.2,3.1,3.0,6.7
ALB,2020,58.75381081040027,5.072585756196846,6.2,4.3999999999999995,5.773246397638608,2.7,8.1,5.8,3.8727376414843686,3.9000000000000004,3.6,2.935241015080445,6.4
ALB,2021,59.00000000000001,4.8,6.2,4.1,6.4,2.9,8.3,5.5,4.4,3.6,4.1,2.6,6.1
ALB,2022,56.7,4.5,6.2,3.8,6.0,2.6,8.3,5.2,4.1,3.3,4.4,2.5,5.8
DZA,2006,77.8,6.8,6.4,7.1,3.5,7.4,5.6,7.5,7.6,7.5,6.0,6.6,5.8
DZA,2007,75.9,6.4,5.9,7.0,3.5,7.3,5.6,7.3,7.0,7.4,6.1,6.7,5.7
DZA,2008,77.8,6.7,6.2,7.2,4.0,7.3,5.9,7.5,6.8,7.6,6.1,6.8,5.7
DZA,2009,80.6,7.0,6.7,7.7,4.6,7.3,6.2,7.7,6.7,7.6,6.7,6.7,5.7
DZA,2010,81.3,7.5,6.8,8.2,5.1,7.1,6.1,7.5,6.5,7.6,6.7,6.5,5.7
DZA,2011,78.0,7.2,6.8,7.8,5.2,6.8,5.7,7.1,6.1,7.5,6.4,6.1,5.3
DZA,2012,78.1,7.1,6.8,8.1,5.5,6.5,5.4,7.2,5.9,7.4,6.1,6.5,5.5
DZA,2013,78.7,7.4,7.3,7.8,5.8,6.2,5.1,7.4,5.9,7.7,5.8,7.0,5.2
DZA,2014,78.8,7.5,7.3,7.9,6.1,5.9,5.0,7.5,6.1,7.4,5.7,6.7,5.7
DZA,2015,79.6,8.0,7.7,8.2,6.4,6.0,5.1,7.8,5.8,7.1,5.7,6.4,5.4
DZA,2016,78.3,7.7,7.1,7.9,6.8,6.3,5.4,7.8,5.5,6.8,5.4,6.5,5.1
DZA,2017,76.8,7.2,7.1,7.1,6.6,6.6,5.8,6.9,6.0,6.6,5.2,6.8,4.9
DZA,2018,75.78505154191771,6.9,7.1,7.338705791563607,6.3,6.3,6.04634575035411,7.2,5.7,6.3,4.9,7.1,4.6000000000000005
DZA,2019,75.4,6.6,7.1,7.4,6.3,6.0,6.1,7.4,5.4,6.6,4.6,7.4,4.3
DZA,2020,74.57518290066574,6.317766828484937,7.8100000000000005,7.472406892343541,6.2,5.7,5.8,8.270365822794373,5.1000000000000005,6.3,4.504643357042894,7.1000000000000005,4.0
DZA,2021,73.6,6.0,7.5,7.2,6.8,5.6,5.5,7.8,5.6,6.3,4.8,6.8,3.7
DZA,2022,72.2,6.1,7.2,6.9,6.3,5.3,5.4,7.9,5.3,6.6,5.3,6.5,3.4
AND,2006,34.3,1.0,1.8,6.0,3.0,5.0,2.0,1.5,1.0,3.2,4.0,3.8,2.0
AND,2007,34.1,1.0,1.8,5.8,2.9,4.8,2.0,1.5,1.4,3.2,4.1,3.6,2.0
AND,2008,34.8,1.0,1.8,6.0,3.0,5.5,2.0,1.7,1.4,3.2,4.1,3.1,2.0
AND,2009,35.3,1.2,2.0,5.8,3.3,5.5,2.0,1.8,1.5,2.9,3.9,3.0,2.4
AND,2010,34.9,1.6,2.0,5.6,3.6,5.3,1.8,1.8,1.5,2.7,3.7,3.1,2.2
AND,2011,34.0,1.9,1.9,5.9,3.5,4.9,1.8,1.6,1.9,2.5,3.3,2.8,2.0
AND,2012,33.6,2.2,1.9,5.6,3.9,4.6,1.8,1.9,1.8,2.7,3.0,2.5,1.7
AND,2013,32.6,2.3,1.9,5.9,4.0,4.3,1.9,2.2,1.5,2.4,2.7,2.2,1.4
AND,2014,34.8,2.6,1.9,6.4,4.5,4.0,2.2,2.1,1.8,2.2,3.0,2.5,1.6
AND,2015,33.7,2.3,1.9,6.8,4.8,3.7,2.2,1.8,1.5,2.3,2.8,2.2,1.4
AND,2016,34.5,3.0,1.9,7.0,4.5,3.4,1.9,1.5,1.3,2.3,3.0,2.7,2.0
AND,2017,33.5,3.3,1.9,7.0,4.3,3.2,2.2,1.3,1.1,2.1,2.8,2.5,1.8
AND,2018,32.22701109659329,3.1999999999999997,1.9,7.0,4.0,2.9000000000000004,2.4577396810682153,0.9708500319343836,1.1313011765938836,1.8884204594381027,2.5,2.478699747558709,1.8
AND,2019,32.0,3.5,1.9,7.0,3.7,3.4,2.3,1.5,1.2,1.6,2.2,2.2,1.5
AND,2020,30.481111070323838,3.8,1.9,6.7,3.4000000000000004,3.1,2.165041634039119,1.2,1.2954740630758264,1.3205953732088913,1.9000000000000001,2.5,1.2
AND,2021,32.5,3.5,1.9,6.4,4.2,3.0,2.1,0.9,1.8,1.2,3.9,2.7,0.9
AND,2022,30.900000000000002,3.2,1.9,6.7,3.7,2.9,2.1,1.1,1.5,1.1,3.4,2.7,0.6
AGO,2006,88.3,6.8,8.0,6.3,4.9,9.0,5.0,8.8,7.6,7.8,8.0,8.5,7.6
AGO,2007,84.9,6.2,7.5,5.9,4.2,8.7,5.0,8.6,7.7,7.5,8.5,7.5,7.6
AGO,2008,83.8,6.2,7.5,5.9,4.0,9.0,5.0,8.4,7.6,7.5,8.6,6.9,7.2
AGO,2009,85.0,6.2,7.3,6.1,4.5,9.4,5.5,8.0,8.0,7.2,8.6,7.0,7.2
AGO,2010,83.7,5.9,6.8,5.9,5.0,9.1,5.6,8.1,8.0,7.3,8.4,6.9,6.7
AGO,2011,84.6,6.2,7.0,6.2,4.5,8.8,5.9,8.5,8.2,7.5,8.6,6.6,6.7
AGO,2012,85.1,5.9,7.0,6.5,4.8,9.1,5.6,8.2,8.3,7.6,8.9,6.9,6.4
AGO,2013,87.1,6.1,7.3,6.8,5.1,9.4,5.9,8.6,8.4,7.3,8.9,7.2,6.1
AGO,2014,87.4,5.8,7.2,7.1,5.4,9.5,6.0,8.0,9.1,7.0,9.0,7.5,5.8
AGO,2015,87.9,6.0,7.2,7.3,5.6,9.6,6.0,8.3,8.9,7.3,8.7,7.6,5.6
AGO,2016,90.5,6.2,7.2,7.7,6.1,9.6,6.3,8.8,9.2,7.5,9.0,7.3,5.6
AGO,2017,91.1,6.5,7.2,7.5,6.4,9.9,6.6,8.6,9.1,7.3,9.5,7.1,5.4
AGO,2018,89.44029612068627,6.8,7.2,7.2,6.300000000000001,9.6,6.8999999999999995,8.54029612068628,8.799999999999999,7.0,9.2,6.8,5.1000000000000005
AGO,2019,87.8,6.9,7.2,7.5,6.6,9.3,6.6,8.0,8.7,6.7,8.9,6.5,4.9
AGO,2020,87.32003902658735,7.08223650477891,7.2,7.8,6.8999999999999995,9.0,6.3,8.0497760072349,8.708896953443105,6.4,8.818717206717086,6.2,4.860412354413354
AGO,2021,89.0,7.2,7.2,8.1,8.4,8.9,6.0,8.2,9.3,6.2,9.0,5.9,4.6
AGO,2022,88.10000000000001,6.9,7.2,8.4,8.3,8.8,5.9,8.3,9.1,6.1,9.2,5.6,4.3
ATG,2006,83.1,7.25,7.35,6.65,5.0,8.0,7.75,6.85,7.5,7.449999999999999,7.65,5.9,5.75
ATG,2007,65.7,5.2,4.6,5.2,4.8,7.1,7.9,6.3,4.9,5.5,5.2,3.6,5.4
ATG,2008,64.1,5.2,4.6,4.9,4.6,6.9,7.9,6.0,4.9,5.5,4.9,3.3,5.4
ATG,2009,62.8,5.0,4.4,4.3,4.8,6.5,7.8,5.8,5.0,5.0,4.7,3.6,5.9
ATG,2010,60.9,4.6,4.0,4.5,5.5,6.1,7.3,5.3,4.6,4.7,4.7,3.4,6.2
ATG,2011,59.9,4.9,3.7,4.1,5.1,5.9,7.6,5.8,4.3,4.5,5.2,3.0,5.8
ATG,2012,58.9,4.9,3.7,4.1,4.8,5.6,7.9,5.8,4.3,4.8,4.9,2.7,5.5
ATG,2013,58.0,4.9,3.7,4.1,4.5,5.6,7.6,5.8,4.0,4.4,4.6,3.0,5.8
ATG,2014,59.0,4.9,3.7,4.1,4.5,5.3,7.6,5.8,4.1,4.7,4.9,3.3,6.1
ATG,2015,57.8,5.2,3.7,3.9,5.0,5.0,7.3,5.9,3.9,4.5,4.6,3.0,5.8
ATG,2016,56.2,5.4,3.7,3.9,4.7,4.7,7.0,5.6,4.0,4.6,4.3,2.8,5.5
ATG,2017,54.8,5.7,3.7,3.9,4.5,4.5,6.8,5.4,3.8,4.4,4.1,2.7,5.3
ATG,2018,55.6110407346696,5.7,3.7,3.6,4.8,4.2,6.7,5.1000000000000005,3.8,4.411040734669601,4.6,3.2,5.8
ATG,2019,54.4,5.7,3.7,3.6,5.1,4.2,6.4,4.8,3.7,4.5,4.3,2.9,5.5
ATG,2020,52.06235185360498,5.7,3.7,3.6,4.8,4.2,6.162351853604967,4.5,3.4000000000000004,4.2,4.0,2.6,5.2
ATG,2021,54.9,5.4,3.7,3.6,6.9,4.5,6.0,4.2,4.4,3.9,4.3,2.5,5.5
ATG,2022,54.2,5.1,3.7,3.6,7.1,4.8,6.0,3.9,4.1,3.6,4.0,2.5,5.8
ARG,2006,40.8,2.0,2.8,4.0,4.2,5.2,4.0,3.5,4.0,3.7,3.0,1.4,3.0
ARG,2007,41.4,1.9,2.7,4.0,4.6,5.2,4.0,3.4,3.8,3.7,3.8,1.5,2.8
