,iso_o,year,conflict_stock_idp_pop_0,conflict_stock_idp_pop_1,conflict_stock_idp_pop_2,conflict_stock_idp_pop_3,conflict_stock_idp_pop_4,conflict_idp_pop_0,conflict_idp_pop_1,conflict_idp_pop_2,conflict_idp_pop_3,conflict_idp_pop_4
0,AFG,2000,0,0,0,0,1,0,0,0,0,1
1,AFG,2001,0,0,0,0,1,0,0,0,0,1
2,AFG,2002,0,0,0,0,1,0,0,0,0,1
3,AFG,2003,0,0,0,0,1,0,0,0,0,1
4,AFG,2004,0,0,0,0,1,0,0,0,0,1
5,AFG,2005,0,0,0,0,1,0,0,0,0,1
6,AFG,2006,0,0,0,0,1,0,0,0,0,1
7,AFG,2007,0,0,0,0,1,0,0,0,0,1
8,AFG,2008,0,0,0,0,1,0,0,0,0,1
9,AFG,2009,0,0,0,1,0,0,0,0,1,0
10,AFG,2010,0,0,0,1,0,0,0,0,1,1
11,AFG,2011,0,0,0,1,0,0,0,1,0,0
12,AFG,2012,0,0,0,1,0,0,0,0,1,1
13,AFG,2013,0,0,0,1,0,0,0,1,0,0
14,AFG,2014,0,0,0,1,0,0,0,1,0,0
15,AFG,2015,0,0,0,1,1,0,0,1,0,0
16,AFG,2016,0,0,0,1,1,0,0,1,0,1
17,AFG,2017,0,0,0,1,1,0,0,1,0,1
18,AFG,2018,0,0,0,1,1,0,0,1,0,0
19,AFG,2019,0,0,1,0,0,0,0,1,0,1
20,AFG,2020,0,0,1,0,0,0,0,1,0,1
21,AFG,2021,0,0,1,0,0,0,0,1,0,1
22,AFG,2022,0,0,1,0,0,0,0,1,1,0
23,AFG,2023,0,0,0,0,1,0,0,0,0,1
24,AFG,2024,0,0,0,0,1,0,0,0,0,1
25,ALB,2000,0,0,0,0,1,0,0,0,0,1
26,ALB,2001,0,0,0,0,1,0,0,0,0,1
27,ALB,2002,0,0,0,0,1,0,0,0,0,1
28,ALB,2003,0,0,0,0,1,0,0,0,0,1
29,ALB,2004,0,0,0,0,1,0,0,0,0,1
30,ALB,2005,0,0,0,0,1,0,0,0,0,1
31,ALB,2006,0,0,0,0,1,0,0,0,0,1
32,ALB,2007,0,0,0,0,1,0,0,0,0,1
33,ALB,2008,0,0,0,0,1,0,0,0,0,1
34,ALB,2009,0,0,0,0,1,0,0,0,0,1
35,ALB,2010,0,0,0,0,1,0,0,0,0,1
36,ALB,2011,0,0,0,0,1,0,0,0,0,1
37,ALB,2012,0,0,0,0,1,0,0,0,0,1
38,ALB,2013,0,0,0,0,1,0,0,0,0,1
39,ALB,2014,0,0,0,0,1,0,0,0,0,1
40,ALB,2015,0,0,0,0,1,0,0,0,0,1
41,ALB,2016,0,0,0,0,1,0,0,0,0,1
42,ALB,2017,0,0,0,0,1,0,0,0,0,1
43,ALB,2018,0,0,0,0,1,0,0,0,0,1
44,ALB,2019,0,0,0,0,1,0,0,0,0,1
45,ALB,2020,0,0,0,0,1,0,0,0,0,1
46,ALB,2021,0,0,0,0,1,0,0,0,0,1
47,ALB,2022,0,0,0,0,1,0,0,0,0,1
48,ALB,2023,0,0,0,0,1,0,0,0,0,1
49,ALB,2024,0,0,0,0,1,0,0,0,0,1
50,DZA,2000,0,0,0,0,1,0,0,0,0,1
