,isocode,year,month,ons_armedconf12_pred_jut,ons_armedconf12_pred_top,ons_armedconf12_pred_aug
132,AFG,2000,1,,,
385,AGO,2000,1,,,
638,ALB,2000,1,,,
891,AND,2000,1,,,
1144,ARE,2000,1,,,
1397,ARG,2000,1,,,
1620,ARM,2000,1,,,
1873,ATG,2000,1,,,
2126,AUS,2000,1,,,
2379,AUT,2000,1,,,
2602,AZE,2000,1,,,
2855,BDI,2000,1,,,
3108,BEL,2000,1,,,
3361,BEN,2000,1,,,
3614,BFA,2000,1,,,
3867,BGD,2000,1,,,
4120,BGR,2000,1,,,
4373,BHR,2000,1,,,
4626,BHS,2000,1,,,
4837,BIH,2000,1,,,
5061,BLR,2000,1,,,
5314,BLZ,2000,1,,,
5567,BOL,2000,1,,,
5820,BRA,2000,1,,,
6073,BRB,2000,1,,,
6326,BRN,2000,1,,,
6579,BTN,2000,1,,,
6832,BWA,2000,1,,,
7085,CAF,2000,1,,,
7338,CAN,2000,1,,,
7591,CHE,2000,1,,,
7844,CHL,2000,1,,,
8097,CHN,2000,1,,,
8350,CIV,2000,1,,,
8603,CMR,2000,1,,,
8856,COD,2000,1,,,
9109,COG,2000,1,,,
9362,COL,2000,1,,,
9615,COM,2000,1,,,
9868,CPV,2000,1,,,
10121,CRI,2000,1,,,
10374,CUB,2000,1,,,
10627,CYP,2000,1,,,
10832,CZE,2000,1,,,
11085,DEU,2000,1,,,
11338,DJI,2000,1,,,
11591,DMA,2000,1,,,
11844,DNK,2000,1,,,
12097,DOM,2000,1,,,
12350,DZA,2000,1,,,
12603,ECU,2000,1,,,
12856,EGY,2000,1,,,
13058,ERI,2000,1,,,
13311,ESP,2000,1,,,
13534,EST,2000,1,,,
13787,ETH,2000,1,,,
14040,FIN,2000,1,,,
14293,FJI,2000,1,,,
14546,FRA,2000,1,,,
14799,FSM,2000,1,,,
15052,GAB,2000,1,,,
15305,GBR,2000,1,,,
15528,GEO,2000,1,,,
15781,GHA,2000,1,,,
16034,GIN,2000,1,,,
16287,GMB,2000,1,,,
16540,GNB,2000,1,,,
16793,GNQ,2000,1,,,
17046,GRC,2000,1,,,
17299,GRD,2000,1,,,
17552,GTM,2000,1,,,
17805,GUY,2000,1,,,
18058,HND,2000,1,,,
18281,HRV,2000,1,,,
18534,HTI,2000,1,,,
18787,HUN,2000,1,,,
19040,IDN,2000,1,,,
19293,IND,2000,1,,,
19546,IRL,2000,1,,,
19799,IRN,2000,1,,,
20052,IRQ,2000,1,,,
20305,ISL,2000,1,,,
20558,ISR,2000,1,,,
20811,ITA,2000,1,,,
21064,JAM,2000,1,,,
21317,JOR,2000,1,,,
21570,JPN,2000,1,,,
21793,KAZ,2000,1,,,
22046,KEN,2000,1,,,
22269,KGZ,2000,1,,,
22522,KHM,2000,1,,,
22775,KIR,2000,1,,,
23028,KNA,2000,1,,,
23281,KOR,2000,1,,,
23534,KWT,2000,1,,,
23787,LAO,2000,1,,,
24040,LBN,2000,1,,,
24293,LBR,2000,1,,,
24546,LBY,2000,1,,,
24799,LCA,2000,1,,,
25052,LIE,2000,1,,,
25305,LKA,2000,1,,,
25558,LSO,2000,1,,,
25787,LTU,2000,1,,,
26040,LUX,2000,1,,,
26269,LVA,2000,1,,,
26522,MAR,2000,1,,,
26775,MCO,2000,1,,,
27010,MDA,2000,1,,,
27263,MDG,2000,1,,,
27516,MDV,2000,1,,,
27769,MEX,2000,1,,,
28022,MHL,2000,1,,,
28245,MKD,2000,1,,,
28498,MLI,2000,1,,,
28751,MLT,2000,1,,,
29004,MMR,2000,1,,,
29303,MNG,2000,1,,,
29556,MOZ,2000,1,,,
29809,MRT,2000,1,,,
30062,MUS,2000,1,,,
30315,MWI,2000,1,,,
30568,MYS,2000,1,,,
30809,NAM,2000,1,,,
31062,NER,2000,1,,,
31315,NGA,2000,1,,,
31568,NIC,2000,1,,,
31821,NLD,2000,1,,,
32074,NOR,2000,1,,,
32327,NPL,2000,1,,,
32580,NRU,2000,1,,,
32833,NZL,2000,1,,,
33086,OMN,2000,1,,,
33339,PAK,2000,1,,,
33592,PAN,2000,1,,,
33845,PER,2000,1,,,
34098,PHL,2000,1,,,
34351,PLW,2000,1,,,
34604,PNG,2000,1,,,
34857,POL,2000,1,,,
35110,PRK,2000,1,,,
35363,PRT,2000,1,,,
35616,PRY,2000,1,,,
35869,QAT,2000,1,,,
36122,ROU,2000,1,,,
36345,RUS,2000,1,,,
36598,RWA,2000,1,,,
36851,SAU,2000,1,,,
37104,SDN,2000,1,,,
37357,SEN,2000,1,,,
37610,SGP,2000,1,,,
37863,SLB,2000,1,,,
38116,SLE,2000,1,,,
38369,SLV,2000,1,,,
38622,SMR,2000,1,,,
38875,SOM,2000,1,,,
39164,STP,2000,1,,,
39417,SUR,2000,1,,,
39622,SVK,2000,1,,,
39845,SVN,2000,1,,,
40098,SWE,2000,1,,,
40351,SWZ,2000,1,,,
40604,SYC,2000,1,,,
40857,SYR,2000,1,,,
41110,TCD,2000,1,,,
41363,TGO,2000,1,,,
41616,THA,2000,1,,,
41839,TJK,2000,1,,,
42077,TKM,2000,1,,,
42424,TON,2000,1,,,
42677,TTO,2000,1,,,
42930,TUN,2000,1,,,
43183,TUR,2000,1,,,
43436,TUV,2000,1,,,
43689,TWN,2000,1,,,
43942,TZA,2000,1,,,
44195,UGA,2000,1,,,
44418,UKR,2000,1,,,
44671,URY,2000,1,,,
44924,USA,2000,1,,,
45147,UZB,2000,1,,,
45400,VCT,2000,1,,,
45653,VEN,2000,1,,,
45906,VNM,2000,1,,,
46159,VUT,2000,1,,,
46412,WSM,2000,1,,,
46665,XKX,2000,1,,,
46918,YEM,2000,1,,,
47147,YUG,2000,1,,,
47294,ZAF,2000,1,,,
47547,ZMB,2000,1,,,
47800,ZWE,2000,1,,,
0,AFG,2000,1,0.9508396021752746,0.6226806016674868,0.8995919844836113
1,AGO,2000,1,0.9349064762400601,0.6653554553155783,0.8990826906943098
2,ALB,2000,1,0.24619615266127912,0.5001019532225408,0.36377110702376814
3,AND,2000,1,0.007120526751792781,,
4,ARE,2000,1,0.04599311963499543,0.15136814330361173,0.05413956398329902
5,ARG,2000,1,0.0520507072237348,0.055240011092525104,0.022085381153965418
6,ARM,2000,1,0.06122794172198099,0.0459988266836641,0.043015796429287295
7,ATG,2000,1,0.007120526751792781,0.010131132116834616,0.01164741686181706
8,AUS,2000,1,0.03538366174770713,0.039918754627688034,0.008955397884123735
9,AUT,2000,1,0.035971869854413564,0.046149891491250795,0.014300531214390443
10,AZE,2000,1,0.664751504134422,0.24255835268888876,0.6564071982914581
11,BDI,2000,1,0.9399580240106674,0.7009590477567472,0.9172321032865949
12,BEL,2000,1,0.034625766081543836,0.02009058734304234,0.008969652005836076
13,BEN,2000,1,0.03622896731965218,0.4476052102855205,0.11048334489627351
14,BFA,2000,1,0.024755525473353482,0.29182228838067975,0.06947166580684712
15,BGD,2000,1,0.0650383810066898,0.3934991696253259,0.14757396599723108
16,BGR,2000,1,0.03575108616613762,0.12204543875625577,0.028202938834794213
17,BHR,2000,1,0.0417112821912761,0.061531266689697446,0.03415645108450538
18,BHS,2000,1,0.01053209047086536,0.011166437130587242,0.013493089443777678
19,BIH,2000,1,0.06553495453698378,0.3150629351572344,0.13481797431902223
20,BLR,2000,1,0.04980370779591075,0.14670322216587978,0.03550087725267017
21,BLZ,2000,1,0.01053209047086536,0.014515087216422265,0.008938925337588704
22,BOL,2000,1,0.4694644189527264,0.06677058345515323,0.45488629465297054
23,BRA,2000,1,0.16149295296868632,0.05954189590857591,0.13358029327334062
24,BRB,2000,1,0.01053209047086536,0.016079439930317255,0.012563078607034942
25,BRN,2000,1,0.025149715726702257,0.0199888785012437,0.010344087702894716
26,BTN,2000,1,0.1033657559149732,0.14402870865193312,0.13151334251976327
27,BWA,2000,1,0.060131299747336116,0.08466794443595324,0.06072379638958781
28,CAF,2000,1,0.4718807133422627,0.3344872268022164,0.5239634352702964
29,CAN,2000,1,0.2999860832422198,0.06856951636398269,0.2049518715383117
30,CHE,2000,1,0.03622896731965218,0.016381062201437126,0.007758309746904834
31,CHL,2000,1,0.01789457527617773,0.09558525400457055,0.02516691294397066
32,CHN,2000,1,0.030525694873391386,0.08713917034380819,0.020845375528335732
33,CIV,2000,1,0.047566250352994846,0.45054992266672833,0.0921855857373463
34,CMR,2000,1,0.3292492885624719,0.2440759167477468,0.2602322083957603
35,COD,2000,1,0.9530828739916505,0.7236591707554423,0.9201718791350645
36,COG,2000,1,0.8313678444320651,0.5229454384802811,0.8492879314686735
37,COL,2000,1,0.916015811286132,0.5563812109105416,0.8524297758910764
38,COM,2000,1,0.2431136179657973,0.21722975686749532,0.3136997596095117
39,CPV,2000,1,0.0246450993314307,0.15891104170747264,0.07388712596309327
40,CRI,2000,1,0.03953036710778814,0.0253922679862138,0.01672811456916482
41,CUB,2000,1,0.0349397200627759,0.0508904832099703,0.011377119279614812
42,CYP,2000,1,0.04096635601037271,0.07238879496994416,0.02412563950073333
43,CZE,2000,1,0.056123244440475235,0.03149810825416182,0.009877460211620817
44,DEU,2000,1,0.03580706481524973,0.02249579965093545,0.011252930412403075
45,DJI,2000,1,0.5966416259495478,0.21238015598112894,0.6432580222855993
46,DMA,2000,1,0.01053209047086536,0.012848585924845233,0.009477346352533927
47,DNK,2000,1,0.0372964580682987,0.016803259241071084,0.00869276413948372
48,DOM,2000,1,0.034625766081543836,0.057661342949597134,0.024297962688812496
49,DZA,2000,1,0.9195298738464005,0.4245973167379173,0.8405820497671602
50,ECU,2000,1,0.07948336706253266,0.2544661532788157,0.06984761285092407
51,EGY,2000,1,0.3659945277843795,0.24049132581493912,0.3345414958932947
52,ERI,2000,1,0.4371274115022999,0.5204323832399205,0.5381037016938501
53,ESP,2000,1,0.05053935375399083,0.3410782643533072,0.11777772043631848
54,EST,2000,1,0.059794943581426896,0.01998328767560856,0.016583249868740834
55,ETH,2000,1,0.9430383827826149,0.6389789239389203,0.897044529441377
56,FIN,2000,1,0.03747444921489021,0.013290379282544994,0.006583384528825221
57,FJI,2000,1,0.026656569567382826,0.06002073552327867,0.03264755212106362
58,FRA,2000,1,0.031849149750767594,0.03366453205730725,0.013472576666065493
59,FSM,2000,1,0.007120526751792781,,
60,GAB,2000,1,0.04590796832932757,0.0705639632673364,0.047011772462071166
61,GBR,2000,1,0.046434423454468805,0.13571313541135258,0.05533393415376808
62,GEO,2000,1,0.26528483987192186,0.3290102848782506,0.24281390999114227
63,GHA,2000,1,0.08662416213463353,0.1441137064955342,0.09751505032553766
64,GIN,2000,1,0.7487597897812354,0.3812658839925743,0.7429048590081626
65,GMB,2000,1,0.03739756124484385,0.08558923280122903,0.056052357444119426
66,GNB,2000,1,0.40795332794701544,0.22909937384331386,0.5181148471922145
67,GNQ,2000,1,0.0417112821912761,0.10454211899112481,0.04891010245609751
68,GRC,2000,1,0.034625766081543836,0.11152312164116075,0.018114477741657427
69,GRD,2000,1,0.01053209047086536,0.013595540404062802,0.011816055651522406
70,GTM,2000,1,0.16991038531988117,0.20395623892165238,0.13050334827739937
71,GUY,2000,1,0.026749671928576337,0.019436677767313136,0.013937065046042823
72,HND,2000,1,0.4890054377528304,0.1027874744526313,0.4292918666641106
73,HRV,2000,1,0.05696680043790099,0.0838877846935453,0.08561008505897597
74,HTI,2000,1,0.35867896475378747,0.3018190162114817,0.41126141038286507
75,HUN,2000,1,0.034625766081543836,0.10277582638212751,0.02392500075488674
76,IDN,2000,1,0.7415123083407096,0.5485692987709114,0.7543676402037583
77,IND,2000,1,0.6181175199913808,0.3595059341477963,0.6088340168221126
78,IRL,2000,1,0.039438058049961845,0.14327737302759536,0.031103506581151266
79,IRN,2000,1,0.17378634517113875,0.2787425657882763,0.24078933353999962
80,IRQ,2000,1,0.8673588193295942,0.3668001283016066,0.7899169697296649
81,ISL,2000,1,0.01053209047086536,0.013236085578412157,0.008188960445215695
82,ISR,2000,1,0.43424566594941033,0.3036814301011736,0.3468057493234019
83,ITA,2000,1,0.024243568525624225,0.027204822104178333,0.009667908230131306
84,JAM,2000,1,0.08248175418999923,0.06037182519720119,0.05093629463583716
85,JOR,2000,1,0.04075350161560249,0.08012476400995013,0.036481616146304935
86,JPN,2000,1,0.03546824317735457,0.042183337600089924,0.009557436536388759
87,KAZ,2000,1,0.050686709148660775,0.04750347254096322,0.023112407079869342
88,KEN,2000,1,0.8222670633393513,0.4281387109111319,0.7925534279572405
89,KGZ,2000,1,0.43183818051721823,0.36286663305942085,0.505019377887224
90,KHM,2000,1,0.3691824294246064,0.2893603586811651,0.3213605827973137
91,KIR,2000,1,0.01053209047086536,0.01747022827411143,0.010585997137125944
92,KNA,2000,1,0.01053209047086536,0.014862720105979062,0.018175937131984784
93,KOR,2000,1,0.03589432325371757,0.06658787666450525,0.015353335730333548
94,KWT,2000,1,0.0633403743871915,0.16301851870779496,0.08310287561109415
95,LAO,2000,1,0.2983896678328198,0.11893494017518932,0.3189305309769429
96,LBN,2000,1,0.8020498833355973,0.47229020990656245,0.7812991486609815
97,LBR,2000,1,0.8406951647630072,0.4539835797759678,0.8436078970278228
98,LBY,2000,1,0.036856249440044626,0.21718964172094274,0.05813108232783205
99,LCA,2000,1,0.01053209047086536,0.01583025993208955,0.011401357944427877
100,LIE,2000,1,0.007095016547711149,,
101,LKA,2000,1,0.949674013571668,0.5800783713387759,0.8930837584646806
102,LSO,2000,1,0.24205058431305404,0.32162697534979595,0.31363723113127506
103,LTU,2000,1,0.054407186861720476,0.04237386682443473,0.01623557604677779
104,LUX,2000,1,0.024655451298304404,0.007440789737121444,0.006832144495302906
105,LVA,2000,1,0.03643256414776422,0.041621283754940466,0.018739175578045584
106,MAR,2000,1,0.04504837020482371,0.2414329980979433,0.05992286064715855
107,MCO,2000,1,0.007095016547711149,,
108,MDA,2000,1,0.059125595883756536,0.06064542522320905,0.049707535455177115
109,MDG,2000,1,0.03467316979804549,0.13595044064050596,0.029168519466080792
110,MDV,2000,1,0.01053209047086536,0.004432358103050814,0.006492248259739038
111,MEX,2000,1,0.05253358847575569,0.09209926384420836,0.05414827077432659
112,MHL,2000,1,0.01053209047086536,0.019248945518916313,0.012711950798332256
113,MKD,2000,1,0.517931034735237,0.345099604163521,0.5500622208130718
114,MLI,2000,1,0.6844201542161764,0.10638073791480178,0.6099383612864896
115,MLT,2000,1,0.024325186962282475,0.01855262329387832,0.015515172512408843
116,MMR,2000,1,0.8912235584130013,0.5357149362160647,0.8608200319877082
117,MNG,2000,1,0.05877819351857815,0.039677847130326876,0.022905203710663638
118,MOZ,2000,1,0.04874068906893956,0.30134464997297644,0.08894701224473114
119,MRT,2000,1,0.05603727048218061,0.1458460024092979,0.06227565699898952
120,MUS,2000,1,0.0458744485489838,0.08479894391569813,0.04308181135987409
121,MWI,2000,1,0.0349397200627759,0.18828786752142573,0.06566282011382098
122,MYS,2000,1,0.023777780723110802,0.18912421359872236,0.04409008712979963
123,NAM,2000,1,0.6615736862276593,0.34027335851812895,0.6953667470650953
124,NER,2000,1,0.3915155382393588,0.36276613470463354,0.36858098449159854
125,NGA,2000,1,0.8058706694880946,0.49248578074222477,0.7455201188536059
126,NIC,2000,1,0.035696352053610665,0.11986430189100239,0.060746023969271444
127,NLD,2000,1,0.024296594018279827,0.03098428175851245,0.012375786398384407
128,NOR,2000,1,0.03956776700910772,0.051548118296352516,0.01593455301402557
129,NPL,2000,1,0.7850568438979105,0.3164628515654134,0.779664502049367
130,NRU,2000,1,0.007095016547711149,,
131,NZL,2000,1,0.03953036710778814,0.01544034826071744,0.006634028393426522
132,OMN,2000,1,0.034285151523300764,0.147893209827722,0.052002436712619726
133,PAK,2000,1,0.19921233514920683,0.3988707241553607,0.2783171333233892
134,PAN,2000,1,0.043442254777833686,0.054522922440538926,0.017586718433360425
135,PER,2000,1,0.7186381714036801,0.20871442142417332,0.5949287061157902
136,PHL,2000,1,0.7410531003687265,0.35992701653267584,0.7362147068897624
137,PLW,2000,1,0.01053209047086536,0.025317131453694398,0.016376329666281074
