date,topic_mid,value,country_o
2005-01-01,/m/0l3h,92,AW
2005-02-01,/m/0l3h,0,AW
2005-03-01,/m/0l3h,0,AW
2005-04-01,/m/0l3h,0,AW
2005-05-01,/m/0l3h,0,AW
2005-06-01,/m/0l3h,0,AW
2005-07-01,/m/0l3h,0,AW
2005-08-01,/m/0l3h,0,AW
2005-09-01,/m/0l3h,0,AW
2005-10-01,/m/0l3h,0,AW
2005-11-01,/m/0l3h,0,AW
2005-12-01,/m/0l3h,0,AW
2006-01-01,/m/0l3h,0,AW
2006-02-01,/m/0l3h,0,AW
2006-03-01,/m/0l3h,0,AW
2006-04-01,/m/0l3h,0,AW
2006-05-01,/m/0l3h,100,AW
2006-06-01,/m/0l3h,0,AW
2006-07-01,/m/0l3h,44,AW
2006-08-01,/m/0l3h,22,AW
2006-09-01,/m/0l3h,0,AW
2006-10-01,/m/0l3h,0,AW
2006-11-01,/m/0l3h,0,AW
2006-12-01,/m/0l3h,0,AW
2007-01-01,/m/0l3h,16,AW
2007-02-01,/m/0l3h,0,AW
2007-03-01,/m/0l3h,28,AW
2007-04-01,/m/0l3h,0,AW
2007-05-01,/m/0l3h,0,AW
2007-06-01,/m/0l3h,0,AW
2007-07-01,/m/0l3h,30,AW
2007-08-01,/m/0l3h,0,AW
2007-09-01,/m/0l3h,0,AW
2007-10-01,/m/0l3h,0,AW
2007-11-01,/m/0l3h,0,AW
2007-12-01,/m/0l3h,0,AW
2008-01-01,/m/0l3h,0,AW
2008-02-01,/m/0l3h,0,AW
2008-03-01,/m/0l3h,0,AW
2008-04-01,/m/0l3h,0,AW
2008-05-01,/m/0l3h,0,AW
2008-06-01,/m/0l3h,0,AW
2008-07-01,/m/0l3h,0,AW
2008-08-01,/m/0l3h,0,AW
2008-09-01,/m/0l3h,0,AW
2008-10-01,/m/0l3h,0,AW
2008-11-01,/m/0l3h,11,AW
2008-12-01,/m/0l3h,0,AW
2009-01-01,/m/0l3h,0,AW
2009-02-01,/m/0l3h,0,AW
2009-03-01,/m/0l3h,9,AW
2009-04-01,/m/0l3h,0,AW
2009-05-01,/m/0l3h,0,AW
2009-06-01,/m/0l3h,0,AW
2009-07-01,/m/0l3h,0,AW
2009-08-01,/m/0l3h,0,AW
