,date,topic_mid,value,topic_title,iso2,iso_d
0,2005-01-01,/m/06wjf,80,Shanghai,CN,CHN
1,2005-02-01,/m/06wjf,74,Shanghai,CN,CHN
2,2005-03-01,/m/06wjf,100,Shanghai,CN,CHN
3,2005-04-01,/m/06wjf,99,Shanghai,CN,CHN
4,2005-05-01,/m/06wjf,88,Shanghai,CN,CHN
5,2005-06-01,/m/06wjf,90,Shanghai,CN,CHN
6,2005-07-01,/m/06wjf,94,Shanghai,CN,CHN
7,2005-08-01,/m/06wjf,94,Shanghai,CN,CHN
8,2005-09-01,/m/06wjf,85,Shanghai,CN,CHN
9,2005-10-01,/m/06wjf,84,Shanghai,CN,CHN
10,2005-11-01,/m/06wjf,88,Shanghai,CN,CHN
11,2005-12-01,/m/06wjf,82,Shanghai,CN,CHN
12,2006-01-01,/m/06wjf,70,Shanghai,CN,CHN
13,2006-02-01,/m/06wjf,78,Shanghai,CN,CHN
14,2006-03-01,/m/06wjf,84,Shanghai,CN,CHN
15,2006-04-01,/m/06wjf,87,Shanghai,CN,CHN
16,2006-05-01,/m/06wjf,82,Shanghai,CN,CHN
17,2006-06-01,/m/06wjf,79,Shanghai,CN,CHN
18,2006-07-01,/m/06wjf,90,Shanghai,CN,CHN
19,2006-08-01,/m/06wjf,81,Shanghai,CN,CHN
20,2006-09-01,/m/06wjf,81,Shanghai,CN,CHN
21,2006-10-01,/m/06wjf,73,Shanghai,CN,CHN
22,2006-11-01,/m/06wjf,82,Shanghai,CN,CHN
23,2006-12-01,/m/06wjf,68,Shanghai,CN,CHN
24,2007-01-01,/m/06wjf,69,Shanghai,CN,CHN
25,2007-02-01,/m/06wjf,59,Shanghai,CN,CHN
26,2007-03-01,/m/06wjf,78,Shanghai,CN,CHN
27,2007-04-01,/m/06wjf,83,Shanghai,CN,CHN
28,2007-05-01,/m/06wjf,75,Shanghai,CN,CHN
29,2007-06-01,/m/06wjf,76,Shanghai,CN,CHN
30,2007-07-01,/m/06wjf,77,Shanghai,CN,CHN
31,2007-08-01,/m/06wjf,81,Shanghai,CN,CHN
32,2007-09-01,/m/06wjf,78,Shanghai,CN,CHN
33,2007-10-01,/m/06wjf,67,Shanghai,CN,CHN
34,2007-11-01,/m/06wjf,79,Shanghai,CN,CHN
35,2007-12-01,/m/06wjf,66,Shanghai,CN,CHN
36,2008-01-01,/m/06wjf,65,Shanghai,CN,CHN
37,2008-02-01,/m/06wjf,62,Shanghai,CN,CHN
38,2008-03-01,/m/06wjf,71,Shanghai,CN,CHN
39,2008-04-01,/m/06wjf,72,Shanghai,CN,CHN
40,2008-05-01,/m/06wjf,67,Shanghai,CN,CHN
41,2008-06-01,/m/06wjf,68,Shanghai,CN,CHN
42,2008-07-01,/m/06wjf,71,Shanghai,CN,CHN
43,2008-08-01,/m/06wjf,66,Shanghai,CN,CHN
44,2008-09-01,/m/06wjf,63,Shanghai,CN,CHN
45,2008-10-01,/m/06wjf,67,Shanghai,CN,CHN
46,2008-11-01,/m/06wjf,68,Shanghai,CN,CHN
47,2008-12-01,/m/06wjf,61,Shanghai,CN,CHN
48,2009-01-01,/m/06wjf,51,Shanghai,CN,CHN
49,2009-02-01,/m/06wjf,63,Shanghai,CN,CHN
50,2009-03-01,/m/06wjf,63,Shanghai,CN,CHN
51,2009-04-01,/m/06wjf,64,Shanghai,CN,CHN
52,2009-05-01,/m/06wjf,61,Shanghai,CN,CHN
53,2009-06-01,/m/06wjf,63,Shanghai,CN,CHN
54,2009-07-01,/m/06wjf,61,Shanghai,CN,CHN
55,2009-08-01,/m/06wjf,61,Shanghai,CN,CHN
56,2009-09-01,/m/06wjf,58,Shanghai,CN,CHN
57,2009-10-01,/m/06wjf,62,Shanghai,CN,CHN
58,2009-11-01,/m/06wjf,62,Shanghai,CN,CHN
59,2009-12-01,/m/06wjf,59,Shanghai,CN,CHN
60,2010-01-01,/m/06wjf,59,Shanghai,CN,CHN
61,2010-02-01,/m/06wjf,51,Shanghai,CN,CHN
62,2010-03-01,/m/06wjf,65,Shanghai,CN,CHN
63,2010-04-01,/m/06wjf,67,Shanghai,CN,CHN
64,2010-05-01,/m/06wjf,67,Shanghai,CN,CHN
65,2010-06-01,/m/06wjf,63,Shanghai,CN,CHN
66,2010-07-01,/m/06wjf,57,Shanghai,CN,CHN
67,2010-08-01,/m/06wjf,54,Shanghai,CN,CHN
68,2010-09-01,/m/06wjf,56,Shanghai,CN,CHN
69,2010-10-01,/m/06wjf,56,Shanghai,CN,CHN
70,2010-11-01,/m/06wjf,45,Shanghai,CN,CHN
71,2010-12-01,/m/06wjf,44,Shanghai,CN,CHN
72,2011-01-01,/m/06wjf,39,Shanghai,CN,CHN
73,2011-02-01,/m/06wjf,38,Shanghai,CN,CHN
74,2011-03-01,/m/06wjf,43,Shanghai,CN,CHN
75,2011-04-01,/m/06wjf,45,Shanghai,CN,CHN
76,2011-05-01,/m/06wjf,41,Shanghai,CN,CHN
77,2011-06-01,/m/06wjf,40,Shanghai,CN,CHN
78,2011-07-01,/m/06wjf,43,Shanghai,CN,CHN
79,2011-08-01,/m/06wjf,40,Shanghai,CN,CHN
80,2011-09-01,/m/06wjf,38,Shanghai,CN,CHN
81,2011-10-01,/m/06wjf,37,Shanghai,CN,CHN
82,2011-11-01,/m/06wjf,35,Shanghai,CN,CHN
83,2011-12-01,/m/06wjf,31,Shanghai,CN,CHN
84,2012-01-01,/m/06wjf,28,Shanghai,CN,CHN
85,2012-02-01,/m/06wjf,32,Shanghai,CN,CHN
86,2012-03-01,/m/06wjf,35,Shanghai,CN,CHN
87,2012-04-01,/m/06wjf,36,Shanghai,CN,CHN
88,2012-05-01,/m/06wjf,38,Shanghai,CN,CHN
89,2012-06-01,/m/06wjf,38,Shanghai,CN,CHN
90,2012-07-01,/m/06wjf,36,Shanghai,CN,CHN
91,2012-08-01,/m/06wjf,33,Shanghai,CN,CHN
92,2012-09-01,/m/06wjf,30,Shanghai,CN,CHN
93,2012-10-01,/m/06wjf,31,Shanghai,CN,CHN
94,2012-11-01,/m/06wjf,25,Shanghai,CN,CHN
95,2012-12-01,/m/06wjf,24,Shanghai,CN,CHN
96,2013-01-01,/m/06wjf,24,Shanghai,CN,CHN
97,2013-02-01,/m/06wjf,23,Shanghai,CN,CHN
98,2013-03-01,/m/06wjf,26,Shanghai,CN,CHN
99,2013-04-01,/m/06wjf,28,Shanghai,CN,CHN
100,2013-05-01,/m/06wjf,25,Shanghai,CN,CHN
101,2013-06-01,/m/06wjf,24,Shanghai,CN,CHN
102,2013-07-01,/m/06wjf,24,Shanghai,CN,CHN
103,2013-08-01,/m/06wjf,23,Shanghai,CN,CHN
104,2013-09-01,/m/06wjf,24,Shanghai,CN,CHN
105,2013-10-01,/m/06wjf,30,Shanghai,CN,CHN
106,2013-11-01,/m/06wjf,24,Shanghai,CN,CHN
107,2013-12-01,/m/06wjf,24,Shanghai,CN,CHN
108,2014-01-01,/m/06wjf,21,Shanghai,CN,CHN
109,2014-02-01,/m/06wjf,25,Shanghai,CN,CHN
110,2014-03-01,/m/06wjf,25,Shanghai,CN,CHN
111,2014-04-01,/m/06wjf,25,Shanghai,CN,CHN
112,2014-05-01,/m/06wjf,23,Shanghai,CN,CHN
113,2014-06-01,/m/06wjf,18,Shanghai,CN,CHN
114,2014-07-01,/m/06wjf,17,Shanghai,CN,CHN
115,2014-08-01,/m/06wjf,16,Shanghai,CN,CHN
116,2014-09-01,/m/06wjf,17,Shanghai,CN,CHN
117,2014-10-01,/m/06wjf,21,Shanghai,CN,CHN
118,2014-11-01,/m/06wjf,17,Shanghai,CN,CHN
119,2014-12-01,/m/06wjf,15,Shanghai,CN,CHN
120,2015-01-01,/m/06wjf,17,Shanghai,CN,CHN
121,2015-02-01,/m/06wjf,14,Shanghai,CN,CHN
122,2015-03-01,/m/06wjf,18,Shanghai,CN,CHN
123,2015-04-01,/m/06wjf,18,Shanghai,CN,CHN
124,2015-05-01,/m/06wjf,17,Shanghai,CN,CHN
125,2015-06-01,/m/06wjf,16,Shanghai,CN,CHN
126,2015-07-01,/m/06wjf,17,Shanghai,CN,CHN
127,2015-08-01,/m/06wjf,16,Shanghai,CN,CHN
128,2015-09-01,/m/06wjf,16,Shanghai,CN,CHN
129,2015-10-01,/m/06wjf,20,Shanghai,CN,CHN
130,2015-11-01,/m/06wjf,17,Shanghai,CN,CHN
