,date,passport,Immigration,Travel Visa,Refugee,Conflict,Violence,Crisis,Militia,Genocide,Armed Forces,Civilian,Currency,Lottery,Economy,Bureau de change,Wage,Protest,Coup dՎtat,Government,country
0,2008-01-01,0.0,25.0,26.0,0.0,0.0,57.0,85.0,0.0,0.0,46.0,0.0,37.0,0.0,100.0,0.0,69.0,65.0,0.0,88.0,AF
1,2008-02-01,0.0,0.0,16.0,0.0,100.0,29.0,0.0,66.0,71.0,0.0,46.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,AF
2,2008-03-01,4.0,98.0,10.0,0.0,0.0,0.0,0.0,56.0,0.0,60.0,0.0,76.0,37.0,36.0,0.0,0.0,0.0,49.0,32.0,AF
3,2008-04-01,0.0,0.0,28.0,0.0,0.0,61.0,0.0,80.0,0.0,60.0,0.0,0.0,0.0,66.0,0.0,0.0,0.0,0.0,0.0,AF
4,2008-05-01,0.0,0.0,0.0,29.0,0.0,56.0,0.0,100.0,0.0,63.0,35.0,62.0,0.0,50.0,57.0,56.0,51.0,0.0,0.0,AF
5,2008-06-01,5.0,54.0,21.0,35.0,0.0,71.0,0.0,65.0,0.0,39.0,0.0,50.0,31.0,0.0,0.0,0.0,0.0,0.0,28.0,AF
6,2008-07-01,0.0,44.0,0.0,36.0,0.0,56.0,0.0,0.0,100.0,48.0,0.0,53.0,0.0,38.0,0.0,36.0,0.0,0.0,39.0,AF
7,2008-08-01,0.0,19.0,16.0,0.0,0.0,84.0,0.0,0.0,0.0,43.0,44.0,40.0,0.0,26.0,0.0,45.0,0.0,48.0,43.0,AF
8,2008-09-01,3.0,46.0,21.0,42.0,0.0,48.0,0.0,0.0,0.0,86.0,0.0,56.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,AF
9,2008-10-01,0.0,0.0,0.0,0.0,0.0,96.0,51.0,40.0,0.0,62.0,37.0,80.0,70.0,89.0,0.0,37.0,0.0,0.0,85.0,AF
