,date,passport,Immigration,Travel Visa,Refugee,Conflict,Economy,country
0,2005-01-01,0.0,0.0,58.0,0.0,0.0,0.0,AF
1,2005-02-01,36.0,0.0,0.0,0.0,0.0,0.0,AF
2,2005-03-01,25.0,0.0,46.0,0.0,0.0,0.0,AF
3,2005-04-01,0.0,0.0,0.0,0.0,0.0,0.0,AF
4,2005-05-01,0.0,100.0,0.0,0.0,79.0,0.0,AF
5,2005-06-01,0.0,0.0,0.0,0.0,0.0,0.0,AF
6,2005-07-01,0.0,0.0,0.0,0.0,0.0,0.0,AF
7,2005-08-01,0.0,0.0,63.0,0.0,0.0,0.0,AF
8,2005-09-01,0.0,0.0,0.0,0.0,0.0,100.0,AF
9,2005-10-01,11.0,0.0,0.0,0.0,0.0,0.0,AF
10,2005-11-01,0.0,0.0,66.0,0.0,0.0,0.0,AF
11,2005-12-01,0.0,0.0,65.0,0.0,0.0,77.0,AF
12,2006-01-01,0.0,0.0,36.0,0.0,0.0,0.0,AF
13,2006-02-01,19.0,0.0,22.0,0.0,0.0,0.0,AF
14,2006-03-01,0.0,0.0,0.0,0.0,0.0,0.0,AF
15,2006-04-01,0.0,51.0,0.0,0.0,0.0,0.0,AF
16,2006-05-01,0.0,0.0,33.0,0.0,0.0,0.0,AF
17,2006-06-01,22.0,42.0,45.0,74.0,0.0,0.0,AF
18,2006-07-01,0.0,43.0,0.0,0.0,0.0,0.0,AF
19,2006-08-01,0.0,52.0,0.0,97.0,0.0,39.0,AF
20,2006-09-01,0.0,0.0,29.0,0.0,0.0,0.0,AF
21,2006-10-01,0.0,0.0,0.0,0.0,0.0,0.0,AF
22,2006-11-01,22.0,48.0,0.0,0.0,0.0,0.0,AF
23,2006-12-01,0.0,0.0,0.0,0.0,0.0,0.0,AF
24,2007-01-01,11.0,31.0,44.0,42.0,0.0,29.0,AF
25,2007-02-01,0.0,0.0,53.0,0.0,0.0,0.0,AF
26,2007-03-01,6.0,0.0,0.0,0.0,42.0,0.0,AF
27,2007-04-01,0.0,0.0,0.0,0.0,0.0,16.0,AF
28,2007-05-01,4.0,0.0,14.0,93.0,0.0,0.0,AF
29,2007-06-01,5.0,39.0,0.0,0.0,0.0,0.0,AF
30,2007-07-01,0.0,33.0,14.0,0.0,0.0,14.0,AF
31,2007-08-01,0.0,0.0,0.0,0.0,0.0,0.0,AF
32,2007-09-01,0.0,0.0,18.0,0.0,0.0,0.0,AF
33,2007-10-01,4.0,0.0,58.0,33.0,0.0,0.0,AF
34,2007-11-01,0.0,0.0,0.0,36.0,0.0,24.0,AF
35,2007-12-01,5.0,0.0,24.0,0.0,0.0,14.0,AF
36,2008-01-01,0.0,24.0,13.0,0.0,0.0,0.0,AF
37,2008-02-01,0.0,0.0,12.0,0.0,20.0,0.0,AF
38,2008-03-01,0.0,0.0,33.0,0.0,0.0,0.0,AF
39,2008-04-01,4.0,27.0,0.0,26.0,0.0,21.0,AF
40,2008-05-01,0.0,31.0,16.0,0.0,0.0,12.0,AF
41,2008-06-01,0.0,22.0,28.0,41.0,0.0,12.0,AF
42,2008-07-01,0.0,17.0,11.0,0.0,0.0,33.0,AF
43,2008-08-01,0.0,20.0,14.0,0.0,100.0,0.0,AF
44,2008-09-01,0.0,81.0,19.0,0.0,0.0,0.0,AF
45,2008-10-01,0.0,18.0,0.0,0.0,0.0,24.0,AF
46,2008-11-01,0.0,46.0,20.0,0.0,0.0,23.0,AF
47,2008-12-01,4.0,14.0,24.0,37.0,0.0,0.0,AF
48,2009-01-01,0.0,0.0,10.0,0.0,0.0,14.0,AF
49,2009-02-01,3.0,31.0,24.0,0.0,15.0,0.0,AF
50,2009-03-01,0.0,12.0,11.0,0.0,0.0,26.0,AF
51,2009-04-01,0.0,0.0,5.0,22.0,11.0,22.0,AF
52,2009-05-01,3.0,19.0,11.0,20.0,0.0,43.0,AF
53,2009-06-01,6.0,38.0,13.0,31.0,0.0,24.0,AF
54,2009-07-01,0.0,0.0,15.0,0.0,32.0,7.0,AF
55,2009-08-01,0.0,0.0,18.0,0.0,12.0,11.0,AF
56,2009-09-01,3.0,10.0,13.0,47.0,0.0,8.0,AF
57,2009-10-01,0.0,40.0,21.0,0.0,18.0,20.0,AF
58,2009-11-01,0.0,0.0,19.0,27.0,11.0,0.0,AF
59,2009-12-01,0.0,0.0,19.0,0.0,0.0,21.0,AF
60,2010-01-01,0.0,0.0,13.0,0.0,13.0,22.0,AF
61,2010-02-01,0.0,0.0,18.0,18.0,11.0,8.0,AF
62,2010-03-01,0.0,13.0,13.0,33.0,19.0,17.0,AF
63,2010-04-01,3.0,22.0,0.0,0.0,11.0,17.0,AF
64,2010-05-01,4.0,0.0,10.0,0.0,9.0,16.0,AF
65,2010-06-01,4.0,0.0,21.0,33.0,34.0,22.0,AF
66,2010-07-01,0.0,0.0,18.0,0.0,0.0,9.0,AF
67,2010-08-01,0.0,0.0,15.0,0.0,0.0,0.0,AF
68,2010-09-01,0.0,0.0,6.0,0.0,0.0,0.0,AF
69,2010-10-01,0.0,15.0,5.0,0.0,25.0,23.0,AF
70,2010-11-01,0.0,10.0,14.0,0.0,0.0,0.0,AF
71,2010-12-01,1.0,11.0,11.0,0.0,0.0,6.0,AF
72,2011-01-01,2.0,6.0,15.0,0.0,7.0,22.0,AF
73,2011-02-01,0.0,8.0,19.0,0.0,0.0,0.0,AF
74,2011-03-01,2.0,17.0,17.0,0.0,0.0,15.0,AF
75,2011-04-01,0.0,30.0,12.0,0.0,0.0,26.0,AF
76,2011-05-01,2.0,25.0,14.0,0.0,10.0,35.0,AF
77,2011-06-01,0.0,24.0,22.0,0.0,0.0,25.0,AF
78,2011-07-01,2.0,9.0,14.0,31.0,18.0,24.0,AF
79,2011-08-01,2.0,24.0,22.0,17.0,0.0,12.0,AF
80,2011-09-01,3.0,0.0,20.0,15.0,8.0,12.0,AF
81,2011-10-01,2.0,0.0,11.0,0.0,8.0,29.0,AF
82,2011-11-01,2.0,17.0,15.0,0.0,10.0,16.0,AF
83,2011-12-01,1.0,8.0,11.0,11.0,14.0,20.0,AF
84,2012-01-01,2.0,5.0,14.0,8.0,7.0,16.0,AF
85,2012-02-01,0.0,7.0,9.0,0.0,3.0,12.0,AF
86,2012-03-01,2.0,4.0,7.0,0.0,0.0,13.0,AF
87,2012-04-01,0.0,8.0,11.0,0.0,6.0,21.0,AF
88,2012-05-01,1.0,12.0,10.0,0.0,0.0,25.0,AF
89,2012-06-01,1.0,12.0,11.0,6.0,11.0,20.0,AF
90,2012-07-01,1.0,17.0,17.0,3.0,3.0,18.0,AF
91,2012-08-01,1.0,15.0,15.0,12.0,0.0,10.0,AF
92,2012-09-01,1.0,18.0,14.0,7.0,14.0,16.0,AF
93,2012-10-01,0.0,21.0,17.0,10.0,3.0,15.0,AF
94,2012-11-01,1.0,4.0,13.0,5.0,5.0,16.0,AF
95,2012-12-01,1.0,9.0,13.0,8.0,4.0,15.0,AF
96,2013-01-01,1.0,15.0,15.0,12.0,6.0,14.0,AF
97,2013-02-01,0.0,14.0,12.0,2.0,0.0,15.0,AF
98,2013-03-01,2.0,13.0,13.0,4.0,3.0,14.0,AF
99,2013-04-01,1.0,9.0,12.0,5.0,4.0,24.0,AF
100,2013-05-01,1.0,14.0,12.0,8.0,9.0,28.0,AF
101,2013-06-01,1.0,13.0,15.0,10.0,2.0,21.0,AF
102,2013-07-01,1.0,16.0,20.0,10.0,2.0,13.0,AF
103,2013-08-01,1.0,13.0,12.0,5.0,3.0,11.0,AF
104,2013-09-01,1.0,15.0,19.0,10.0,3.0,18.0,AF
105,2013-10-01,1.0,8.0,19.0,9.0,3.0,16.0,AF
106,2013-11-01,1.0,9.0,16.0,13.0,0.0,20.0,AF
107,2013-12-01,1.0,9.0,16.0,8.0,6.0,15.0,AF
108,2014-01-01,1.0,8.0,17.0,6.0,3.0,13.0,AF
109,2014-02-01,1.0,9.0,14.0,4.0,3.0,15.0,AF
110,2014-03-01,1.0,9.0,16.0,2.0,2.0,10.0,AF
111,2014-04-01,1.0,8.0,13.0,5.0,3.0,19.0,AF
112,2014-05-01,1.0,11.0,16.0,10.0,3.0,26.0,AF
113,2014-06-01,2.0,10.0,15.0,7.0,0.0,20.0,AF
114,2014-07-01,1.0,12.0,19.0,7.0,4.0,11.0,AF
115,2014-08-01,2.0,6.0,18.0,5.0,1.0,13.0,AF
116,2014-09-01,1.0,10.0,19.0,9.0,2.0,21.0,AF
117,2014-10-01,1.0,9.0,20.0,6.0,3.0,19.0,AF
118,2014-11-01,1.0,10.0,16.0,10.0,3.0,21.0,AF
119,2014-12-01,1.0,9.0,15.0,7.0,5.0,17.0,AF
120,2015-01-01,1.0,10.0,14.0,12.0,4.0,15.0,AF
121,2015-02-01,1.0,8.0,16.0,8.0,0.0,16.0,AF
122,2015-03-01,1.0,8.0,13.0,9.0,2.0,17.0,AF
123,2015-04-01,1.0,9.0,18.0,8.0,5.0,30.0,AF
124,2015-05-01,2.0,8.0,19.0,5.0,2.0,34.0,AF
125,2015-06-01,1.0,13.0,20.0,8.0,3.0,26.0,AF
126,2015-07-01,2.0,17.0,21.0,22.0,5.0,14.0,AF
127,2015-08-01,2.0,21.0,24.0,17.0,5.0,13.0,AF
128,2015-09-01,2.0,22.0,20.0,28.0,1.0,18.0,AF
129,2015-10-01,1.0,19.0,30.0,18.0,2.0,25.0,AF
130,2015-11-01,2.0,13.0,22.0,23.0,5.0,25.0,AF
