search,topic_title,topic_type,topic_mid
Albania,Albania,Country in the Balkans,/m/0jdx
Algeria,Algeria,Country in North Africa,/m/0h3y
Andorra,Andorra,Country in Europe,/m/0hg5
Angola,Angola,Country in Central Africa,/m/0j4b
Antigua and Barbuda,Antigua and Barbuda,Country in the Caribbean,/m/0l3h
Argentina,Argentina,Country in South America,/m/0jgd
Armenia,Armenia,Country in Asia,/m/0jgx
Aruba,Aruba,Country,/m/0j11
Australia,Australia,Country in Oceania,/m/0chghy
Austria,Austria,Country in Europe,/m/0h7x
Azerbaijan,Azerbaijan,Country,/m/0jhd
The Bahamas,The Bahamas,Country in the Caribbean,/m/0160w
Bahrain,Bahrain,Country in the Middle East,/m/0161c
Bangladesh,Bangladesh,Country in South Asia,/m/0162b
Barbados,Barbados,Country in the Caribbean,/m/0162v
Belarus,Belarus,Country in Europe,/m/0163v
Belgium,Belgium,Country in Europe,/m/0154j
Belize,Belize,Country in Central America,/m/0164b
Benin,Benin,Country in West Africa,/m/0164v
Bhutan,Bhutan,Country in South Asia,/m/07bxhl
Bolivia,Bolivia,Country in South America,/m/0165v
Bosnia and Herzegovina,Bosnia and Herzegovina,Country in the Balkans,/m/0166b
Botswana,Botswana,Country in Southern Africa,/m/0166v
Brazil,Brazil,Country in South America,/m/015fr
Brunei Darussalam,Brunei,Country in Asia,/m/0167v
Bulgaria,Bulgaria,Country in the Balkans,/m/015qh
Burkina Faso,Burkina Faso,Country in West Africa,/m/01699
Burundi,Burundi,Country in East Africa,/m/0169t
Cabo Verde,Cabo Verde,Country in Africa,/m/01nqj
Cambodia,Cambodia,Country in Asia,/m/01xbgx
Cameroon,Cameroon,Country in Central Africa,/m/01nln
Canada,Canada,Country in North America,/m/0d060g
Central African Republic,Central African Republic,Country in Central Africa,/m/01nyl
Chad,Chad,Country in Central Africa,/m/01p1b
Chile,Chile,Country in South America,/m/01p1v
China,China,Country in East Asia,/m/0d05w3
Colombia,Colombia,Country in South America,/m/01ls2
Comoros,Comoros,Country in East Africa,/m/01n6c
Democratic Republic of the Congo,Democratic Republic of the Congo,Country in Central Africa,/m/088xp
Republic of Congo,Republic of the Congo,Country in Central Africa,/m/01rxw
Costa Rica,Costa Rica,Country in Central America,/m/01p8s
