search_country,search_keyword,topic_title,topic_type,topic_mid
Italy,Brescia,Brescia,City in Italy,/m/01tsq8
Bangladesh,Comilla,Cumilla,City in Bangladesh,/m/02rr531
Ecuador,Machala,Machala,City in Ecuador,/m/028znz
Italy,Milan,Milan,City in Italy,/m/0947l
Italy,Turin,Turin,City in Italy,/m/07mgr
Finland,Tampere,Tampere,City in Finland,/m/0hzgf
Vietnam,Hue,Hue,City in Vietnam,/m/0g7sl
Ghana,Accra,Accra,Capital of Ghana,/m/0fnyc
Brazil,Foz do Iguacu,Foz do Iguaçu,City in Brazil,/m/0442yh
Malawi,Blantyre,Blantyre,City in Malawi,/m/02zv5r
Sudan,Singa,Sinjah,Town in Sudan,/m/0ngt6v8
Russia,Ulan-Ude,Ulan-Ude,City in Russia,/m/0ftwy
Ukraine,Chernihiv,Chernihiv,City in Ukraine,/m/02p1md
South Sudan,Yei,Yei,Topic,/m/070563
Czech Republic,Ostrava,Ostrava,City in the Czech Republic,/m/02cnsv
Pakistan,Karachi,Karachi,City in Pakistan,/m/04cjn
Pakistan,Quetta,Quetta,City in Pakistan,/m/0n84k
Mexico,Campeche,Campeche,City in Mexico,/m/01bkf6
Azerbaijan,Sumqayit,Sumqayit,City in Azerbaijan,/m/034v4t
Guinea,Conakry,Conakry,Capital of Guinea,/m/0fn8p
Russia,Bryansk,Bryansk,City in Russia,/m/02f482
Egypt,Aswan,Aswan,City in Egypt,/m/0_38
Senegal,Touba,Touba,City in Senegal,/m/05g477
France,Lille,Lille,City in France,/m/0d8r8
Italy,Bologna,Bologna,City in Italy,/m/096g3
Côte d'Ivoire,Bouake,Bouake,City in Côte d’Ivoire,/m/0491m9
Ethiopia,Jijiga,Jijiga,City in Ethiopia,/m/05g9j5
Indonesia,Jayapura,Jayapura,City in Indonesia,/m/029bfb
Nepal,Kathmandu,Kathmandu,Capital of Nepal,/m/04cx5
Israel,Ashdod,Ashdod,City in Israel,/m/01q2k7
Thailand,Mueang Nonthaburi,Nonthaburi,City in Thailand,/m/0gkz02
Sudan,Omdurman,Omdurman,City in Sudan,/m/0pk_y
Libya,Ajdabiya,Ajdabiya,Town in Libya,/m/05h5ncs
Germany,Stuttgart,Stuttgart,City in Germany,/m/0727_
Slovak Republic,Bratislava,Bratislava,Capital of Slovakia,/m/015g7
Cameroon,Kousseri,Kousseri,City in Cameroon,/m/06ycdr
Ethiopia,Hawassa,Hawassa,City in Ethiopia,/m/06kx91
Lithuania,Vilnius,Vilnius,Capital of Lithuania,/m/07_kq
Syria,Homs,Homs,City in Syria,/m/0k9qf
Morocco,Al Hoceima,Al Hoceima,City in Morocco,/m/03zvrp
Saudi Arabia,Al Hufuf,Al Hofuf,City in Saudi Arabia,/m/0766_d
Kenya,Kisumu,Kisumu,City in Kenya,/m/02k641
Bolivia,Sucre,Sucre,Capital of Bolivia,/m/0bt6c
Czech Republic,Prague,Prague,Capital of the Czech Republic,/m/05ywg
Kazakhstan,Semey,Semey,City in Kazakhstan,/m/02f03_
Ethiopia,Dire Dawa,Dire Dawa,City in Ethiopia,/m/04lj5y
Chile,Vina del Mar,Viña del Mar,City in Chile,/m/01rnty
Ukraine,Lviv,Lviv,City in Ukraine,/m/0d7_n
Greece,Athens,Athens,Capital of Greece,/m/0n2z
Yemen,Al Hudaydah,Al Hudaydah,City in Yemen,/m/039_81
Brazil,Manaus,Manaus,City in Brazil,/m/02bkk3
Syria,Tartus,Tartus,City in Syria,/m/03l44f
Ukraine,Sumy,Sumy,City in Ukraine,/m/02q6jz
Belarus,Brest,Brest,City in France,/m/0fwfm
Mexico,Tuxtla,Tuxtla Gutiérrez,City in Mexico,/m/01bkyg
Colombia,Valledupar,Valledupar,City in Colombia,/m/0315bq
China,Baoshan,Baoshan,City in China,/m/0b77hf
Sierra Leone,Freetown,Freetown,Capital of Sierra Leone,/m/0fnc_
Suriname,Paramaribo,Paramaribo,Capital of Suriname,/m/0fr_v
Montenegro,Podgorica,Podgorica,Capital of Montenegro,/m/0174pr
Hungary,Debrecen,Debrecen,City in Hungary,/m/01gchw
Germany,Augsburg,Augsburg,City in Germany,/m/09f8q
Libya,Misratah,Misrata,City in Libya,/m/02d982
India,Aizawl,Aizawl,City in India,/g/11bc57bkj9
Finland,Espoo,Espoo,City in Finland,/m/0c75w
Ukraine,Luhansk,Luhansk,City in Ukraine,/m/0428dx
Ukraine,Odesa,Odesa,City in Ukraine,/m/0ffmp
Poland,Bialystok,Białystok,City in Poland,/m/0cvdh
Netherlands,Eindhoven,Eindhoven,City in the Netherlands,/m/02kx3
Romania,Oradea,Oradea,City in Romania,/m/01pt7g
Türkiye,Corlu,Corlu,City in Turkey,/m/0820q9
Paraguay,San Lorenzo,San Lorenzo,City in Paraguay,/m/0d_5sp
China,Wenshan City,Wenshan Zhuang and Miao Autonomous Prefecture,City in China,/m/09fcvm
The Gambia,Serekunda,Serekunda,Village in Gambia,/m/05hg6w
France,Lyon,Lyon,City in France,/m/0dprg
Myanmar,Mawlamyine,Mawlamyine,City in Myanmar,/m/052vyq
Zambia,Chipata,Chipata,City in Zambia,/m/04s2vl
Iraq,Karbala,Karbala,City in Iraq,/m/01dyns
Mozambique,Matola,Matola,City in Mozambique,/m/057jcq
Côte d'Ivoire,San-Pedro,San-Pedro,City in Côte d’Ivoire,/m/056krd
Greece,Thessaloniki,Thessaloniki,City in Greece,/m/0b2mc
Nepal,Dhangadhi,Dhangadhi,City in Nepal,/m/087hp2
